,username,tweet
313,aoc,lying pull clerk record proudly voted resolution antisemitism cite statement growing increasingly erratic unfounded fact call opponent nazi rest assured neo nazi opponent
314,aoc,since appears gop leader need reminder healing without accountability unity white supremacist know president state devolved dangerously weak anything weak serve
315,aoc,let clear official urging serious consequence wednesday attack country including impeachment removal expulsion indictment official aided abetted incited attack opening door happen
316,aoc,gop colleague house praised hitler week confederate flag hung outside museum jewish heritage yet continue deny clear connection aftermath wednesday violence disgrace office every day resign
317,aoc,wore auschwitz shirt erected gallows tried hang vice president continued excusal denial wednesday neo nazi presence abhorrent dangerous healing unifying thing take responsibility action resign
318,aoc,stand jewish neighbor amp loved one always stand protect sickening act hatred intimidation white supremacist pack garbage amp get city new york never welcome protect
319,aoc,swath rioter staying dc hotel go hundred night
320,aoc,good see development going apps used organize violence platform
321,aoc,
322,aoc,calling congress currently working measure extend resource healthcare counseling hazard pay capitol custodial food service support staff wednesday attack everyone need support
323,aoc,gop colleague know president incited insurrection incited mob find harm possibly kill democrat allow opportunity physical harm sufficiently loyal remove
324,aoc,move moving mean forget moving requires accountability attacking nation without recourse responsibility moving capitol police officer died defending
325,aoc,fist pumped insurrectionist baselessly attacked election action fueled riot fundraised chaos five people dead even gop colleague distanced act yet cry book deal expelled
326,aoc,trump team trying cover action yesterday avoid identified inciting attack congress clear present danger long office report indicating unwell getting worse must removed office
327,aoc,trump immediately send national guard initial presence clash began pm breach happened roughly around around pm dc council tweeted request national guard denied ng approved trump cited decision
328,aoc,resign
329,aoc,complete refusal acknowledge harm wrongdoing even misjudgement amp lack self reflection act contributed yesterday chaos alarming unbecoming elected official make unfit office occupy
330,aoc,oh accusing lying campaign sent fundraising message people sieging capitol claimed leading fight reject elector clash started around pm message sent capitol breached
331,aoc,exactly told team reached day prior attack practically verbatim
